Art;Typ;Anlagennr;SAP-Nr.;Einbauort;Einbau Ur-Weiche;Erneuerung;Stammgleis;Zweiggleis;LETZTE_INSTANDHALTUNG;GW201_ID1
Weiche;Einfache Weiche (EW);4043;S-IS-00050-B0027-W4043;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.026: Zufahrtsgeleis W4105-4031;050.027: Verbindung HW-VB2, W4043-W4033;;344
Weiche;Einfache Weiche (EW);4044;S-IS-00050-B0032-W4044;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.026: Zufahrtsgeleis W4105-4031;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;;545
Weiche;Einfache Weiche (EW);4045;S-IS-00050-B0031-W4045;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.031: Zufahrt Gleisharfe W4045-W4111;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;;544
Weiche;Außenbogenweiche (ABW);4046;S-IS-00050-B0030-W4046;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.030: Zufahrt Gleisharfe W4042-W4046;050.041: Wagenhalle Gleis 10, W4047-W4062;;538
Weiche;Einfache Weiche (EW);4047;S-IS-00050-B0041-W4047;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.030: Zufahrt Gleisharfe W4042-W4046;050.041: Wagenhalle Gleis 10, W4047-W4062;;537
Weiche;Innenbogenweiche (IBW);4048;S-IS-00050-B0043-W4048;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.041: Wagenhalle Gleis 10, W4047-W4062;050.043: Wagenhalle Gleis 12, W4048-W4063;;349
Weiche;Innenbogenweiche (IBW);4049;S-IS-00050-B0042-W4049;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.041: Wagenhalle Gleis 10, W4047-W4062;050.042: Wagenhalle Gleis 11, W4049-W4064  ;;350
Weiche;Innenbogenweiche (IBW);4050;S-IS-00050-B0045-W4050;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.043: Wagenhalle Gleis 12, W4048-W4063;050.045: Wagenhalle Gleis 14, W4050-W4060;;351
Weiche;Innenbogenweiche (IBW);4051;S-IS-00050-B0044-W4051;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.043: Wagenhalle Gleis 12, W4048-W4063;050.044: Wagenhalle Gleis 13, W4051,W4059;;352
Weiche;Innenbogenweiche (IBW);4052;S-IS-00050-B0046-W4052;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.045: Wagenhalle Gleis 14, W4050-W4060;050.046: Wagenhalle Gleis 15, W4052-W4058;;353
Weiche;Einfache Weiche (EW);4053;S-IS-00050-B0047-W4053;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.047: Wagenhalle Gleis 16, W4053-W4061;;354
Weiche;Einfache Weiche (EW);4054;S-IS-00050-B0048-W4054;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.047: Wagenhalle Gleis 16, W4053-W4061;050.048: Wagenhalle Gleis 17, W4054-W4057;;355
Weiche;Einfache Weiche (EW);4055;S-IS-00050-B0049-W4055;BP2 - Betriebshof Möhringen / Nord;02.03.1988;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.049: Wagenhalle Gleis 18, W4055-W4056;;356
